smiles
OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](O)[C@@H](O)[C@@H]1O[C@@H]2O[C@H](CO[C@]3(C(O)=O)C[C@H](O)[C@@H](NC(C)=O)[C@H](C(O)[C@H](O)CNC(OCC4=CN(replace)N=N4)=O)O3)[C@H](O)[C@H](O)[C@H]2O     N=[N+]=[N-]
OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](O)[C@@H](O)[C@@H]1O[C@@H]2O[C@H](CO[C@]3(C(O)=O)C[C@H](O)[C@@H](NC(C)=O)[C@H](C(O)[C@H](O)CNC(OCC4=CN(replace)N=N4)=O)O3)[C@H](O)[C@H](O)[C@H]2O     [N-]=[N+]=NCCO
OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](O)[C@@H](O)[C@@H]1O[C@@H]2O[C@H](CO[C@]3(C(O)=O)C[C@H](O)[C@@H](NC(C)=O)[C@H](C(O)[C@H](O)CNC(OCC4=CN(replace)N=N4)=O)O3)[C@H](O)[C@H](O)[C@H]2O     [N-]=[N+]=Nc1ccc(Cl)cc1
OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](O)[C@@H](O)[C@@H]1O[C@@H]2O[C@H](CO[C@]3(C(O)=O)C[C@H](O)[C@@H](NC(C)=O)[C@H](C(O)[C@H](O)CNC(OCC4=CN(replace)N=N4)=O)O3)[C@H](O)[C@H](O)[C@H]2O     c1ccccc1N=[N+]=[N-]
OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](O)[C@@H](O)[C@@H]1O[C@@H]2O[C@H](CO[C@]3(C(O)=O)C[C@H](O)[C@@H](NC(C)=O)[C@H](C(O)[C@H](O)CNC(OCC4=CN(replace)N=N4)=O)O3)[C@H](O)[C@H](O)[C@H]2O     CC(C)c1ccccc1N=[N+]=[N-]
OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](O)[C@@H](O)[C@@H]1O[C@@H]2O[C@H](CO[C@]3(C(O)=O)C[C@H](O)[C@@H](NC(C)=O)[C@H](C(O)[C@H](O)CNC(OCC4=CN(replace)N=N4)=O)O3)[C@H](O)[C@H](O)[C@H]2O     COc1ccc(N=[N+]=[N-])cc1
OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](O)[C@@H](O)[C@@H]1O[C@@H]2O[C@H](CO[C@]3(C(O)=O)C[C@H](O)[C@@H](NC(C)=O)[C@H](C(O)[C@H](O)CNC(OCC4=CN(replace)N=N4)=O)O3)[C@H](O)[C@H](O)[C@H]2O     [N-]=[N+]=Nc1ccc([N+](=O)[O-])cc1
OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](O)[C@@H](O)[C@@H]1O[C@@H]2O[C@H](CO[C@]3(C(O)=O)C[C@H](O)[C@@H](NC(C)=O)[C@H](C(O)[C@H](O)CNC(OCC4=CN(replace)N=N4)=O)O3)[C@H](O)[C@H](O)[C@H]2O     Cc1cc(C)c(N=[N+]=[N-])c(C)c1
OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](O)[C@@H](O)[C@@H]1O[C@@H]2O[C@H](CO[C@]3(C(O)=O)C[C@H](O)[C@@H](NC(C)=O)[C@H](C(O)[C@H](O)CNC(OCC4=CN(replace)N=N4)=O)O3)[C@H](O)[C@H](O)[C@H]2O     [N-]=[N+]=Nc1ccccc1Br
OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](O)[C@@H](O)[C@@H]1O[C@@H]2O[C@H](CO[C@]3(C(O)=O)C[C@H](O)[C@@H](NC(C)=O)[C@H](C(O)[C@H](O)CNC(OCC4=CN(replace)N=N4)=O)O3)[C@H](O)[C@H](O)[C@H]2O     CCOC(=O)c1cccc(N=[N+]=[N-])c1
