Id,SMILES,Protein,Ligand,Heavy Atoms,Mol. weight [g/mol],Exp. Affinity,Binding probability mean,Binding probability std,dG [kcal/mol] mean,dG [kcal/mol] std,Lig. Efficiency [kcal/mol] mean,Lig. Efficiency [kcal/mol] std,Pic50 mean,Pic50 std,Pkd mean,Pkd std
12_lig_assembled_47_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(C[C@@H](C(=O)O)C(c3ccccc3)c3ccccc3)nn2)O1,protein.pdb,12_lig_assembled_47_pdb_processed.sdf,49,685.6870000000011,None,0.20000236102750932,0.39999881951237565,-7.899363194193159,-1.1013138550200312,-0.16121149375904406,-0.022475792959592473,6.044515473502023,0.8841100705760716,5.851380143846784,0.8157880407555785
13_lig_assembled_50_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(C[C@@H](O)CO)nn2)O1,protein.pdb,13_lig_assembled_50_pdb_processed.sdf,36,521.4800000000004,None,0.2,0.4,-5.75674661227635,-0.781898534987887,-0.1599096281187875,-0.021719403749663527,4.087661606924875,0.6055518779118982,4.264256749834333,0.5791840999910274
14_lig_assembled_53_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CC(=O)O)nn2)O1,protein.pdb,14_lig_assembled_53_pdb_processed.sdf,35,505.43699999999984,None,0.2,0.4,-5.87730940920966,-0.8740791063138151,-0.16792312597741887,-0.02497368875182329,4.214742013386318,0.7435628406329867,4.353562525340489,0.6474660046769001
15_lig_assembled_55_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCNS(C)(=O)=O)nn2)O1,protein.pdb,15_lig_assembled_55_pdb_processed.sdf,38,568.5620000000011,None,0.2,0.4,-5.637643703392575,-0.3710349832995876,-0.1483590448261204,-0.009764078507883885,4.079385382788522,0.46755323062220366,4.176032372883388,0.2748407283700649
16_lig_assembled_56_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccncc3)nn2)O1,protein.pdb,16_lig_assembled_56_pdb_processed.sdf,37,524.4870000000006,None,0.20000000000951115,0.39999999999524444,-7.898149119104658,-0.9913665424618074,-0.21346348970553128,-0.026793690336805606,5.740839685712542,0.8876979558838665,5.850480828966413,0.7343455870087462
17_lig_assembled_6_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc([N+](=O)[O-])cc3)nn2)O1,protein.pdb,17_lig_assembled_6_pdb_processed.sdf,40,568.4960000000012,None,0.20000011549520877,0.3999999422524581,-7.783163554327829,-0.7109244162223629,-0.19457908885819572,-0.017773110405559074,5.735653332301548,0.5667219033353785,5.765306336539132,0.5266106786832317
18_lig_assembled_70_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3cnc4ccccc4c3)nn2)O1,protein.pdb,18_lig_assembled_70_pdb_processed.sdf,41,574.5470000000014,None,0.20000243620597757,0.3999987819248321,-8.361955690383912,-0.7833560605641913,-0.20395013878985152,-0.01910624537961442,6.133031913212368,0.6127377111592974,6.1940412521362305,0.5802637485660675
19_lig_assembled_72_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(C(C)(C)CO)nn2)O1,protein.pdb,19_lig_assembled_72_pdb_processed.sdf,36,519.5080000000002,None,0.2,0.4,-6.162803093024663,-0.6669535303338022,-0.17118897480624062,-0.01852648695371673,4.441127300262451,0.5586979542698773,4.565039328166416,0.4940396520991127
20_lig_assembled_77_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(S(=O)(=O)c4ccc(N)cc4)cc3)nn2)O1,protein.pdb,20_lig_assembled_77_pdb_processed.sdf,47,678.6770000000012,None,0.200000000000001,0.39999999999999947,-9.652551995004927,-0.37466548246726844,-0.20537344670223248,-0.007971606009941882,7.152229309082031,0.3795305959218563,7.150038514818464,0.2775299870127914
21_lig_assembled_7_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3c(C)cc(C)cc3C)nn2)O1,protein.pdb,21_lig_assembled_7_pdb_processed.sdf,40,565.5800000000015,None,0.20000000276593558,0.3999999986170323,-8.224478377614703,-1.3549336261011609,-0.2056119594403676,-0.03387334065252902,5.972092015402658,0.8810264253587972,6.092206205640521,1.0036545378527117
22_lig_assembled_88_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3cc(Br)cc(Br)c3O)nn2)O1,protein.pdb,22_lig_assembled_88_pdb_processed.sdf,41,711.317000000001,None,0.20000000000146573,0.39999999999926716,-9.32715255873544,-1.2066892249720622,-0.22749152582281562,-0.02943144451151371,6.86075850895473,0.806990287353525,6.909001895359585,0.8938438703496757
