,x,y
0,0.019739692715119404,0.0
1,0.03852270427029297,0.0030860682578898635
2,0.06496516579331262,0.06506460577051129
3,0.04640332246328785,0.0
4,0.011773350403849825,0.0013715858923954948
5,0.05062266356476944,0.005572067687856698
6,0.060593235761302,0.006086412397505008
7,0.0650551761175011,0.11401307730537551
8,0.05949853877093383,0.10938397491854071
9,0.043432124523886104,0.0
10,0.07139147431977694,0.0
11,0.0054203359985104446,0.0
12,0.025645227223064768,0.0
13,0.02984056557142948,0.0586352968999074
14,0.04781862765600343,0.11649907673534234
15,0.05508460392096857,0.08983887595190491
16,0.01647874725594912,0.0014573100106702133
17,0.0457141005523591,0.10929825080026599
18,0.013923311290179763,0.004714826505109513
