NC(=O)c1ccccc1N=[N+]=[N-]
[N-]=[N+]=NCCO
[N-]=[N+]=Nc1ccc(Cl)cc1
c1ccccc1N=[N+]=[N-]
CC(C)c1ccccc1N=[N+]=[N-]
COc1ccc(N=[N+]=[N-])cc1

Nc1ccc([N+](=O)[O-])cc1
Cc1cc(C)c(N)c(C)c1
N#[N+]c1ccccc1Br
CCOC(=O)c1cccc(N)c1
[N]C(CC(=O)O)C(=O)O
CCC[C@H](N)C(=O)O
[N-]COCc1ccccc1
CCOC(=O)CN
NCCN1CCCC1
Nc1ccc(Br)cc1
N#Cc1ccc(C(=O)O)cc1
CCN(CC)CC[15NH2]
NCC(=O)NCc1cccs1
CC(=O)OCCN
N#Cc1ccc2[nH]ncc2c1
[R]C(=O)Oc1ccccc1CN
CC(C)(N)C(=O)O
[Z4]Nc1cccc(S(N)(=O)=O)c1
c1ccc(S(=O)(=O)N)cc1N=[N+]=[N-]
<smiles>COc1ccc(CN)cc1</smiles>
<smiles>NC1c2ccccc2-c2ccccc21</smiles>
<smiles>CC(N=[N+]=[N-])CC(=O)c1ccccc1</smiles>
<smiles>[N]c1cccc(Cl)c1</smiles>
<smiles>NCc1ccc2c(c1)OCO2</smiles>
<smiles>COc1ccc(CN)cc1OC</smiles>
<smiles>N#CCCCCCCCCC(=O)O</smiles>
C(NC(=O)NCCN=[N+]=[N-])C1=CC=CO1
<smiles>NCCC(=O)O</smiles>
<smiles>[13CH3]CCCCC(=O)O</smiles>
C[C@H](N=[N+]=[N-])C(=O)O
Oc1cc2Oc3cC(=O)ccc-3c(C5=C(C(=O)O[Na])C=C(N=[N+]=[N-])C=C5)c2cc1
<smiles>N#Cc1ccc(CN)cc1</smiles>
<smiles>C[C@H](N)C(=O)OCc1ccccc1</smiles>
<smiles>[N]Cc1cccc(Br)c1</smiles>
<smiles>[N]Cc1ccccc1Br</smiles>
<smiles>Cc1ccc(N)cc1</smiles>
<smiles>CC(=O)c1ccccc1N</smiles>
<smiles>Nc1ccc2c(c1)OCO2</smiles>
<smiles>C=CCCCCNCC</smiles>
<smiles>NCc1ccc(Br)cc1</smiles>
<smiles>CC[N+](C)(CC)CCCN</smiles>
<smiles>[Te]Cc1ccccc1</smiles>
<smiles>N#CC(C(=O)O)C(c1ccccc1)c1ccccc1</smiles>
<smiles>NC1CCCCC1</smiles>
<smiles>NC1CCCC1</smiles>
<smiles>[N]CC(O)CO</smiles>
<smiles>NC12CC3CC(CC(C3)C1)C2</smiles>
<smiles>N#[N+]c1cccnc1</smiles>
<smiles>[NH]CC(=O)O</smiles>
<smiles>CCOC(CCN)OCC</smiles>
<smiles>CS(=O)(=O)NCCN</smiles>
<smiles>Nc1ccncc1</smiles>
<smiles>CN1CCC(N)C1</smiles>
<smiles>NC(c1ccccc1)c1ccccc1</smiles>
<smiles>Nc1ccc(CO)cn1</smiles>
<smiles>NS(=O)(=O)c1ccc(N=[18O])cc1</smiles>
<smiles>NCc1ccsc1</smiles>
<smiles>COCC(N)C(N)=O</smiles>
<smiles>N#Cc1cccnc1N</smiles>
<smiles>Nc1cc(C(=O)O)nc(-c2ccccc2)c1</smiles>
<smiles>Cc1nc(N)nc(N)n1</smiles>
<smiles>[NH3+]Cc1cccc(C#[N+]Br)c1</smiles>
<smiles>NCCC1OCCO1</smiles>
<smiles>NCC(O)c1ccccc1</smiles>
<smiles>NC1CC(O)C=C[C@@H](O)C1</smiles>
<smiles>[AlH2]c1cnc2ccccc2c1</smiles>
<smiles>[n+]1cccnc1NC(=O)CN</smiles>
