Id,SMILES,Protein,Ligand,Heavy Atoms,Mol. weight [g/mol],Exp. Affinity,Binding probability mean,Binding probability std,dG [kcal/mol] mean,dG [kcal/mol] std,Lig. Efficiency [kcal/mol] mean,Lig. Efficiency [kcal/mol] std,Pic50 mean,Pic50 std,Pkd mean,Pkd std
5_lig_assembled_14_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCN3CCCC3)nn2)O1,protein.pdb,5_lig_assembled_14_pdb_processed.sdf,38,544.562,None,0.2,0.4,-6.184995047,-0.9559128661,-0.1627630275,-0.02515560174,4.465907778,0.7506586324,4.581477812,0.7080836045
6_lig_assembled_15_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(Br)cc3)nn2)O1,protein.pdb,6_lig_assembled_15_pdb_processed.sdf,38,602.395,None,0.2,0.4,-6.946900136,-0.6272004379,-0.1828131615,-0.01650527468,5.138973168,0.6525315294,5.145851953,0.464592917
7_lig_assembled_16_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3ccc(C(=O)O)cc3)nn2)O1,protein.pdb,7_lig_assembled_16_pdb_processed.sdf,41,581.535,None,0.2,0.4,-6.693079172,-0.9600438253,-0.1632458335,-0.02341570306,4.976749148,0.6267056694,4.957836424,0.7111435743
8_lig_assembled_17_pdb,CCN(CC)CCn1cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]2O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]2NC(C)=O)nn1,protein.pdb,8_lig_assembled_17_pdb_processed.sdf,38,546.578,None,0.2,0.4,-6.597968776,-0.8586193691,-0.1736307573,-0.02259524655,4.810892037,0.5971740859,4.887384278,0.6360143475
9_lig_assembled_18_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CC(=O)NCc3cccs3)nn2)O1,protein.pdb,9_lig_assembled_18_pdb_processed.sdf,41,600.607,None,0.2,0.4,-7.117611306,-0.7992546442,-0.1736002758,-0.01949401571,5.112310069,0.6936735695,5.272304671,0.5920404772
10_lig_assembled_19_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCOC(C)=O)nn2)O1,protein.pdb,10_lig_assembled_19_pdb_processed.sdf,37,533.491,None,0.2,0.4,-5.243392728,-1.085982008,-0.141713317,-0.02935086509,3.781510217,0.8277690405,3.883994613,0.8044311173
12_lig_assembled_20_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc4[nH]ncc4c3)nn2)O1,protein.pdb,12_lig_assembled_20_pdb_processed.sdf,40,563.524,None,0.2,0.4,-7.758752755,-0.6424575444,-0.1939688189,-0.01606143861,5.622336864,0.5513901239,5.747224263,0.4758944774
13_lig_assembled_21_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3ccccc3OC(C)=O)nn2)O1,protein.pdb,13_lig_assembled_21_pdb_processed.sdf,42,595.562,None,0.2,0.4,-6.648516308,-0.3975735368,-0.1582980073,-0.00946603659,4.898670741,0.4242157774,4.924826894,0.2944989161
14_lig_assembled_22_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(C(C)(C)C(=O)O)nn2)O1,protein.pdb,14_lig_assembled_22_pdb_processed.sdf,37,533.491,None,0.2,0.4,-6.104494521,-0.9439877705,-0.1649863384,-0.02551318299,4.41948642,0.6669210971,4.521847793,0.6992502004
15_lig_assembled_23_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3cccc(S(N)(=O)=O)c3)nn2)O1,protein.pdb,15_lig_assembled_23_pdb_processed.sdf,41,602.579,None,0.2000000079,0.3999999961,-8.693411616,-0.6907188382,-0.2120344297,-0.01684680093,6.4356387,0.5364066509,6.43956416,0.5116435838
