[N-]=[N+]=NCCF
[N-]=[N+]=NCCCO
[N-]=[N+]=NC1CCCCC1
[N-]=[N+]=NCC1=CSC(C)=N1 
[N-]=[N+]=NC1=CC=C(C=C1)C(F)(F)(F)
[N-]=[N+]=NC1CCCNC1
[N-]=[N+]=N[C@@H](C)C1=C(C)C=C(F)C=C1
[N-]=[N+]=NCC1=NC(C(OC)=O)=CO1
[N-]=[N+]=NC1(c2cc(OC)ccc2)CCC1
[N-]=[N+]=N[C@@H]1[C@]2(NC(OC(C)(C)(C))=O)CC[C@H](C1)C2
[N-]=[N+]=NC1COC1
[N-]=[N+]=NCCCN1CCSCC1
[N-]=[N+]=NC(C)C12CC(C2)CO1
[N-]=[N+]=NCC1=CN=C(C(F)(F)(F))S1
[N-]=[N+]=NCCC1=CNC2=C1C=CC=C2 
[N-]=[N+]=NCC12CC(C(OCC)=O)(C2)C3(CCOCC3)O1
[N-]=[N+]=NCCO
[N-]=[N+]=NCC1CCCC1(F)(F)
[N-]=[N+]=Nc1ccc(N(C)(C))cc1
[N-]=[N+]=NC1=CC2=C(C=C1)N=CC=N2
[N-]=[N+]=Nc1ccc(S(F)(F)(F)(F)(F))cc1
[N-]=[N+]=NC12CCC(N)(C2)CC1
[N-]=[N+]=NCC1=C(OC=N1)C1CCC1
[N-]=[N+]=NCC(C)(C)(C)
[N-]=[N+]=NCC1(C)COC1
[N-]=[N+]=Nc1ccc(N)cc1
[N-]=[N+]=NS(=O)(=O)C1=CC2=C(OCC2)C=C1
[N-]=[N+]=NC[C@@H]1CCC[C@H](CN)C1
[N-]=[N+]=NCCCN(C)C
[N-]=[N+]=NC(COC)COC
[N-]=[N+]=Nc1cc(Cl)cc(Cl)c1
[N-]=[N+]=NCC(=O)NC1=CC=CC=C1 
[N-]=[N+]=Nc1cc(OC)c(OC)cc1
[N-]=[N+]=NCC1(CCCCC1)C#N
[N-]=[N+]=NCC1=CN=NS1 
[N-]=[N+]=Nc1ccc(O)cc1
[N-]=[N+]=NC1CCCCC=C1 
[N-]=[N+]=N[C@@H](C)CN
[N-]=[N+]=NC1CCCNCC1
[N-]=[N+]=NC1CCOC1
[N-]=[N+]=NCc1c(OC)cccc1(OC)
[N-]=[N+]=NCCCOc1cc(N(C)(C))ccc1
[N-]=[N+]=NCc1cc(C(F)(F)F)cc(S(=O)(C)=O)c1
[N-]=[N+]=NCCN(C)Cc1cc(F)ccc1
[N-]=[N+]=NCCP(O)(O)=O
[N-]=[N+]=NC1(C(N)=O)CC1
[N-]=[N+]=NCC1=NN=C(CC)O1
[N-]=[N+]=NCCCN1CCCC1
[N-]=[N+]=NCC(O)c1ccccc1
[N-]=[N+]=NCC1=NC2=C(N1)C=CC=C2
[N-]=[N+]=NCC1=NC2=C(C=CC=C2)N1
[N-]=[N+]=NC(C)(C)c1ccccc1(OC)
[N-]=[N+]=NCC1=NC(C(N)2CCCCCC2)=NO1
[N-]=[N+]=NCCNCC
[N-]=[N+]=NCC(=O)N1CCCCC1
